,marketcap
455,41439059968
456,41429233664
457,41415847936
458,41377689600
459,41324797952
460,41196580864
461,41102524416
462,41014988800
463,40990756864
464,40986021888
465,40971464704
466,40948736000
467,40790593536
468,40779025141
469,40749210492
470,40662126592
471,40591175680
472,40501426163
473,40475422720
474,40474932296
475,40405335459
476,40237088768
477,40150347776
478,40087150592
479,39962718208
480,39790317842
481,39695602091
482,39620268032
483,39618238811
484,39617888256
485,39589322752
486,39584403456
487,39443898368
488,39405056000
489,39204159393
490,39049498624
491,39042222212
492,39027761152
493,38879072256
494,38694080018
495,38637207552
496,38618717040
497,38575009792
498,38494650368
499,38461067264
500,38293221376
501,38166860616
502,38157774848
503,38132439010
504,38131060736
505,38105284608
506,37986591617
507,37859708928
508,37679210798
509,37659283456
510,37654521416
511,37623693312
512,37542842368
513,37400412160
514,37313568768
515,37286653952
516,36998332052
517,36962211659
518,36893265920
519,36860503955
520,36830359552
521,36804825088
522,36752007168
523,36746432512
524,36665073664
525,36647706527
526,36643971072
527,36605095936
528,36602601472
529,36501397504
530,36462542401
531,36401704543
532,36353093632
533,36281995264
534,36268237056
535,36245065728
536,36035824505
537,35999412224
538,35977695232
539,35919275418
540,35833128432
541,35831827905
542,35809443840
543,35693236224
544,35608523327
545,35603431424
546,35455392992
547,35394048000
548,35360169984
549,35347588005
550,35301515264
551,35299839928
552,35180716032
553,35139751936
554,35110879232
555,35032420326
556,35026001920
557,35013935104
558,35007033344
559,34989576192
560,34979618816
561,34913251328
562,34803658771
563,34801422336
564,34788999168
565,34765680640
566,34761547776
567,34686636032
568,34628078105
569,34598541459
570,34590818304
571,34477400064
572,34458992640
573,34431414110
574,34248775680
575,34213271552
576,34199517184
577,34148505600
578,34104958976
579,34048060008
580,33897270348
581,33773299712
582,33682245632
583,33589397504
584,33582684160
585,33560292860
586,33539947877
587,33532997632
588,33481410300
589,33475502080
590,33417845643
591,33414432163
592,33393348709
593,33317371904
594,33314818048
595,33139828736
596,33120120832
597,32991832064
598,32983353344
599,32955987968
600,32908978176
601,32886725157
602,32843884544
603,32828401664
604,32813292544
605,32807700480
606,32754042937
607,32750391296
608,32728254464
609,32724728821
610,32670506634
611,32638794196
612,32593866752
613,32585160704
614,32574380032
615,32566251520
616,32522913792
617,32493496320
618,32388752322
619,32370604032
620,32353063131
621,32351553055
622,32281948160
623,32104669184
624,31976341504
625,31957638786
626,31828584448
627,31753549824
628,31664241888
629,31590805504
630,31566131200
631,31565623296
632,31387600896
633,31368906752
634,31344078848
635,31321671992
636,31289016320
637,31142135249
638,31080956356
639,31054770176
640,30929899520
641,30866540544
642,30828865536
643,30752849920
644,30735575040
645,30733096335
646,30634661888
647,30531028992
648,30487959552
649,30440551958
650,30423394304
651,30364809216
652,30359709696
653,30353281024
654,30323736576
655,30300046950
656,30283153890
657,30240911360
658,30224640000
659,29998909440
660,29931046912
661,29901617730
662,29896981685
663,29878003712
664,29875953617
665,29864175616
666,29800536007
667,29788932096
668,29685215232
669,29670456935
670,29572256348
671,29570781184
672,29543002112
673,29520730112
674,29515704482
675,29495304192
676,29429051392
677,29373778408
678,29351239680
679,29256269824
680,29175642112
681,29158679420
682,29155788800
683,29100220416
684,29069683921
685,28992856086
686,28980289536
687,28853764096
688,28844368845
689,28817944576
690,28769933312
691,28707033130
692,28641796569
693,28600928256
694,28520315291
695,28500809339
696,28423749273
697,28252213217
698,28214636544
699,28209973248
700,28037895238
701,27855141114
702,27777197905
703,27710609089
704,27693539328
705,27690254073
706,27677233725
707,27559329324
708,27419557369
709,27408558080
710,27374706408
711,27368692073
712,27339497918
713,27334340608
714,27308983332
715,27278199878
716,27268311040
717,27266865465
718,27263338496
719,27241216406
720,27223916544
721,26994720346
722,26960095232
723,26895108096
724,26893084672
725,26827595776
726,26823723008
727,26800943104
728,26744926208
729,26710935552
730,26672748544
731,26671469445
732,26632036352
733,26626792633
734,26618928700
735,26609047552
736,26496529449
737,26487131699
738,26418452480
739,26392485888
740,26275391488
741,26240159744
742,26209437931
743,26202173440
744,26153848522
745,26113198080
746,26086311515
747,26022561792
748,26009409144
749,25988208640
750,25968618915
751,25965168640
752,25885372416
753,25750370304
754,25744295936
755,25742073242
756,25718455892
757,25708984320
758,25604200448
759,25590390784
760,25557697757
761,25505542012
762,25479931904
763,25415485440
764,25297397237
765,25290599337
766,25279830016
767,25273724293
768,25207881728
769,25149333504
770,25118961664
771,24941752320
772,24937363456
773,24915646074
774,24869588532
775,24867364864
776,24806141671
777,24787845023
778,24767283200
779,24731201416
780,24643047424
781,24616025622
782,24598101740
783,24530927616
784,24475879424
785,24469749760
786,24456878633
787,24453228454
788,24426936320
789,24425105752
790,24423915520
791,24355522892
792,24331168245
793,24258832384
794,24248170496
795,24242773816
796,24223623186
797,24208046080
798,24204169216
799,24199460864
800,24170519520
801,24099336192
802,24079424594
803,24057559040
804,24016738770
805,23986008895
806,23971525673
807,23956197376
808,23950219264
809,23815122944
810,23763054919
811,23708801235
812,23693072384
813,23669607878
814,23663460968
815,23628591104
816,23585361920
817,23565883392
818,23541053258
819,23520028672
820,23473942528
821,23430615040
822,23387136000
823,23347165184
824,23334101725
825,23328755712
826,23309642578
827,23299151872
828,23265394688
829,23265331200
830,23237005576
831,23225067520
832,23169748992
833,23153525990
834,23050739712
835,23030239232
836,22975258624
837,22939308032
838,22892488704
839,22869389312
840,22821660361
841,22801244643
842,22772520257
843,22761134478
844,22759424000
845,22758098944
846,22692216832
847,22683768789
848,22600417142
849,22594451456
850,22586396672
851,22559559680
852,22504460288
853,22444070277
854,22432079872
855,22319575040
856,22317648578
857,22277140480
858,22241912832
859,22233823899
860,22223071281
861,22190182400
862,22154449502
863,22143385600
864,22117588979
865,22075478016
866,22063089664
867,22055055845
868,22039576576
869,22004926464
870,21988472832
871,21908693727
872,21897938944
873,21887887010
874,21834145792
875,21826512896
876,21714560801
877,21680652235
878,21627023285
879,21556431299
880,21553602607
881,21501505853
882,21442674522
883,21389264896
884,21370785343
885,21364401703
886,21339530801
887,21269004288
888,21099341824
889,21088153600
890,21084217344
891,21078936174
892,21071167488
893,21009133750
894,20995335377
895,20929726464
896,20882587648
897,20878329856
898,20872323965
899,20870518784
900,20800346112
901,20626323893
902,20621430441
903,20590501888
904,20481154502
905,20393113600
906,20283035648
907,20235259126
908,20209342464
909,20198305792
910,20165160210
911,20164084097
912,20156690247
913,20143289847
914,20111652864
915,19998687482
916,19994107904
917,19983140864
918,19977420800
919,19956953395
920,19953120670
921,19941468160
922,19890509824
923,19880464507
924,19879534592
925,19864270848
926,19840678764
927,19778221852
928,19749593620
929,19728940528
930,19723810816
931,19723276288
932,19713824768
933,19683362816
934,19659325975
935,19606335488
936,19602454528
937,19595468766
938,19593420715
939,19569151739
940,19555926564
941,19549624320
942,19498625246
943,19482716302
944,19427237391
945,19411537920
946,19373226898
947,19364694016
948,19330570240
949,19293166761
950,19220904761
951,19219394560
952,19151798272
953,19102781440
954,19096729600
955,19093520384
956,19072583680
957,19063660157
958,19063285645
959,18991562752
960,18983288782
961,18957969164
962,18948424225
963,18901235053
964,18875009024
965,18807128064
966,18780065898
967,18762399250
968,18707057967
969,18701934592
970,18696669184
971,18624583680
972,18619947008
973,18603245413
974,18558208000
975,18555945046
976,18541576192
977,18479949824
978,18475022336
979,18455291904
980,18446354432
981,18403989504
982,18386693881
983,18376118272
984,18320656384
985,18296616960
986,18293829632
987,18259924992
988,18243418112
989,18227718144
990,18212014780
991,18170691584
992,18158616810
993,18151165952
994,18093868615
995,18069692416
996,18003521536
997,17992885702
998,17992310784
999,17991689220
1000,17960859648
1001,17925274295
1002,17897943040
1003,17896030051
1004,17892853760
1005,17888780288
1006,17878780099
1007,17871089184
1008,17822646272
1009,17790184674
1010,17778688000
1011,17761200350
1012,17727305728
1013,17724532736
1014,17723697152
1015,17714444188
1016,17708998656
1017,17670963200
1018,17663307776
1019,17660049408
1020,17658556416
1021,17656547328
1022,17587768616
1023,17555750876
1024,17546792960
1025,17538770223
1026,17516309195
1027,17457515770
1028,17442975263
1029,17440796672
1030,17421452205
1031,17414516736
1032,17413355520
1033,17392758784
1034,17391519744
1035,17341085696
1036,17270286336
1037,17267222528
1038,17262249984
1039,17262047232
1040,17243862383
1041,17234194295
1042,17225259008
1043,17220530081
1044,17199110144
1045,17197238272
1046,17172119552
1047,17130223616
1048,17122502656
1049,17106172650
1050,17099612982
1051,17071791104
1052,17066561610
1053,17065615203
1054,17040614908
1055,17033912320
1056,17032737792
1057,17026501963
1058,17015832017
1059,16893966336
1060,16885893120
1061,16863771647
1062,16862706198
1063,16859639808
1064,16832288221
1065,16831977241
1066,16824185856
1067,16823454720
1068,16779835392
1069,16726638592
1070,16721018143
1071,16657682432
1072,16613955584
1073,16609141118
1074,16577751040
1075,16576353280
1076,16573447695
1077,16561403904
1078,16539261952
1079,16490588160
1080,16468427776
1081,16466665472
1082,16454193152
1083,16439635994
1084,16407706624
1085,16354493440
1086,16339893572
1087,16320021149
1088,16281997312
1089,16268848373
1090,16224798720
1091,16216384512
1092,16202354688
1093,16198804288
1094,16187237442
1095,16181097472
1096,16138584064
1097,16138052869
1098,16113889746
1099,16073025621
1100,16059716608
1101,16053481472
1102,16052451833
1103,16043665408
1104,16019773336
1105,16011193344
1106,15921729536
1107,15906766848
1108,15896774205
1109,15881473024
1110,15877369147
1111,15842990038
1112,15809409827
1113,15793459200
1114,15781086208
1115,15754350269
1116,15746766646
1117,15746158510
1118,15732990976
1119,15709046016
1120,15696875040
1121,15687387136
1122,15615348991
1123,15614834688
1124,15612082413
1125,15606013952
1126,15602429039
1127,15581883392
1128,15560838864
1129,15540858880
1130,15533612032
1131,15523562547
1132,15516029952
1133,15493609260
1134,15479434760
1135,15471514596
1136,15470924800
1137,15460242432
1138,15454376960
1139,15440098304
1140,15431598080
1141,15422065664
1142,15406638676
1143,15405639494
1144,15391017984
1145,15366895616
1146,15337966186
1147,15323808506
1148,15318678996
1149,15195967876
1150,15150226040
1151,15144009070
1152,15134388431
1153,15108804608
1154,15094830852
1155,15069176617
1156,15064547962
1157,15052717056
1158,15041854464
1159,15024917504
1160,15015597056
1161,15014950247
1162,15002573824
1163,14999297729
1164,14991522989
1165,14991208520
1166,14980799488
1167,14968340480
1168,14968034843
1169,14936101962
