,Smoking
349,11670.64866
350,11326.88289
351,11194.06754
352,10859.51037
353,10904.48748
354,10784.95353
355,11154.96351
356,11149.88089
357,11140.70812
358,11199.15184
359,11282.08356
360,11329.28581
361,11471.19544
362,11394.93409
363,11502.30524
364,6407.145522
365,7132.313776
366,8006.676248
367,8515.161654
368,9124.133642
369,8961.08514
370,8830.942967
371,8585.803041
372,8425.951578
373,8307.51518
374,8122.747493
375,8111.070249
376,8294.596001
377,8538.535707
378,8670.644751
379,8903.030305
380,9081.835985
381,9114.924654
382,9350.016486
383,9543.654898
384,9833.018873
385,10147.66512
386,10404.66255
387,10722.24907
388,10941.21698
389,11211.15516
390,11663.08379
391,12216.65581
392,99.49280427
393,99.68457121
394,99.58853178
395,101.4094345
396,104.3522491
397,106.6230474
398,110.1268764
399,106.3848377
400,105.9607605
401,110.7639741
402,109.9232061
403,112.8042333
404,111.6396181
405,111.334842
406,114.3795553
407,115.3176358
408,121.2362515
409,121.9923466
410,125.7663021
411,130.5275469
412,133.5731798
413,136.5834591
414,138.408053
415,140.5409123
416,145.639717
417,150.833224
418,154.7416874
419,158.5935302
420,239.3282735
421,242.5748124
422,246.7849085
423,247.3341627
424,248.3578802
425,249.9746476
426,251.1701081
427,251.8597163
428,246.7164508
429,236.3720757
430,224.3939288
431,217.7672917
432,217.8942079
433,226.8218775
434,230.4646861
435,226.0657722
436,218.7242045
437,220.4661424
438,220.2222055
439,219.9283255
440,226.1168739
441,233.8655567
442,241.7854384
443,250.5274477
444,263.1172786
445,283.7807585
446,305.7408012
447,329.056011
448,70999.70014
449,66450.68313
450,66516.35335
451,65823.26876
452,65214.6566
453,66011.14374
454,65455.46224
455,64418.30803
456,63741.44686
457,63416.11876
458,64710.14862
459,64602.90761
460,64879.48103
461,65988.3927
462,66955.1773
463,69273.73621
464,72378.66394
465,75772.33677
466,77040.71739
467,77941.67372
468,79768.37821
469,78283.32739
470,77123.32556
471,78401.55847
472,82319.28636
473,83932.98923
474,86299.86699
475,90795.05525
476,170.4033951
477,170.0734282
478,169.8905818
479,168.1761697
480,169.8028229
481,163.6330755
482,158.7225668
483,161.6677328
484,159.4444815
485,155.7238031
486,153.5745539
487,148.8859117
488,151.3040354
489,151.8831905
490,154.2437712
491,156.8659164
492,154.1283242
493,151.1496722
494,150.7391752
495,146.1123548
496,147.202629
497,148.5491562
498,149.0173303
499,152.064711
500,156.280956
501,160.5095689
502,163.8347571
503,167.9684343
504,21578.50149
505,22581.56077
506,23686.79966
507,26100.44222
508,26459.6442
509,27504.45897
510,27301.13495
511,27505.12388
512,28225.46132
513,28820.5288
514,27263.00835
515,28556.48281
516,29651.95486
517,28448.61128
518,27621.52282
519,28132.95758
520,26936.356
521,25542.4175
522,25842.50166
523,25984.26427
524,26477.24189
525,26640.38092
526,23517.9815
527,22906.60117
528,22342.53231
529,21555.91257
530,21263.74115
531,21496.83134
532,24880.24716
533,24701.5768
534,24725.94219
535,24863.97332
536,24749.55283
537,24883.13256
538,24605.53359
539,24732.41365
540,24782.26861
541,24878.82947
542,24883.22765
543,24566.75089
544,24628.83743
545,24272.69592
546,23505.96643
547,23347.5106
548,22590.61125
549,22731.11072
550,22912.04798
551,22653.27786
552,22279.18188
553,22184.78653
554,22231.18585
555,21815.59684
556,20961.22543
557,20938.66209
558,20327.48382
559,20077.50194
560,67.48861088
561,68.82441227
562,71.09218272
563,72.71732151
564,74.61116523
565,77.1367414
566,83.24910834
567,89.91248202
568,95.89415533
569,99.99819194
570,98.18003978
571,93.31071205
572,94.62940495
573,96.44873605
574,95.48383861
575,95.28966735
576,95.78748303
577,94.5111351
578,93.60135637
579,95.83209483
580,98.2450507
581,99.77012207
582,102.0663427
583,106.2612781
584,111.4041069
585,117.6989302
586,122.8769447
587,127.3457057
588,1601.205385
589,1610.258983
590,1609.050183
591,1606.301525
592,1623.575227
593,1633.710852
594,1654.231454
595,1648.689783
596,1653.74114
597,1660.567846
598,1676.813041
599,1691.44477
600,1702.133068
601,1707.961872
602,1709.00417
603,1703.922067
604,1715.655326
605,1731.572056
606,1753.004992
607,1786.734407
608,1815.201316
609,1854.664441
610,1893.47964
611,1922.657569
612,1941.809516
613,1953.304376
614,1967.825403
615,1983.631895
616,57.92424581
617,55.08778526
618,54.43498116
619,54.67624006
620,52.79732674
621,50.36500804
622,52.22501655
623,50.4394895
624,50.4342046
625,50.42580226
