,r_distance
494,1497.31
495,254.146
496,847.918
497,1419.03
498,1376.39
499,179.40449999999998
500,429.627
501,4061.86
502,2009.58
503,890.71
504,746.325
505,1376.1
506,429.994
507,3055.33
508,786.049
509,233.291
510,850.12
511,328.344
512,691.084
513,342.967
514,577.997
515,265.825
516,256.989
517,1128.5
518,379.456
519,1666.56
520,477.885
521,2194.68
522,246.829
523,1124.94
524,2729.21
525,1167.01
526,329.258
527,2581.94
528,1444.35
529,1369.69
530,328.154
531,1217.79
532,1468.42
533,293.2
534,4947.22
535,974.271
536,1485.71
537,1481.49
538,631.193
539,452.888
540,1871.23
541,797.193
542,3478.82
543,394.063
544,1948.77
545,238.658
546,1517.22
547,1661.09
548,5562.9
549,787.063
550,4455.69
551,657.873
552,1630.37
553,623.3725
554,2541.67
555,2184.96
556,165.097
557,248.058
558,1579.34
559,1531.38
560,1034.865
561,421.499
562,414.527
563,434.588
564,608.293
565,1656.27
566,413.095
567,369.224
568,1341.85
569,789.297
570,2005.755
571,421.365
572,693.443
573,1436.03
574,322.703
575,810.586
576,959.83
577,407.505
578,2725.23
579,1013.2
580,693.637
581,3567.95
582,1974.27
583,292.555
584,558.306
585,248.305
586,1719.09
587,3151.13
588,156.209
589,988.759
590,938.896
591,1461.02
592,1410.24
593,341.541
594,1012.62
595,1557.135
596,441.345
597,917.3356
598,867.648
599,400.611
600,1347.07
601,1512.39
602,3223.47
603,1514.63
604,2172.05
605,1149.3745
606,589.084
607,441.29
608,4730.24
609,1316.64
610,2977.47
611,712.217
612,1968.54
613,2559.6
614,76.13539999999999
615,403.258
616,240.873
617,1286.65
618,413.255
619,310.75
620,4704.09
621,1848.75
622,295.324
623,150.674
624,458.887
625,1059.1
626,763.164
627,353.062
628,327.43
629,2008.4
630,2995.8
631,925.772
632,775.822
633,1809.66
634,355.563
635,1219.03
636,337.099
637,1019.08
638,375.603
639,1247.13
640,626.107
641,211.207
642,740.343
643,680.388
644,2437.7
645,3293.92
646,2336.86
647,132.594
648,1213.11
649,277.478
650,1156.46
651,1748.44
652,358.563
653,1258.27
654,275.532
655,317.715
656,1791.29
657,1699.11
658,1437.0
659,265.929
660,282.857
661,1978.91
662,1094.38
663,1471.7199999999998
664,178.432
665,381.097
666,349.79
667,2833.96
668,197.274
669,2596.245
670,333.429
671,994.569
672,864.986
673,1210.36
674,271.458
675,206.992
676,308.406
677,113.44
678,1683.68
679,1252.74
680,312.172
681,1220.06
682,395.073
683,686.496
684,299.265
685,1655.32
686,390.219
687,890.202
688,277.203
689,1330.47
690,268.4
691,1309.55
692,340.66
693,1139.19
694,445.203
695,2764.07
696,386.916
697,1189.06
698,1422.43
699,1365.11
700,298.9475
701,1764.0
702,1077.66
703,342.181
704,389.483
705,1454.91
706,340.309
707,374.38
708,779.735
709,1602.76
710,1464.95
711,3528.01
712,1225.21
713,383.234
714,1988.93
715,791.762
716,259.128
717,359.534
718,328.543
719,2937.15
720,451.217
721,322.307
722,472.481
723,1336.26
724,2093.63
725,105.399
726,1256.1
727,622.766
728,693.932
729,1018.08
730,2743.8
731,1630.64
732,2308.71
733,77.9234
734,122.155
735,296.859
736,2473.02
737,192.989
738,2132.39
739,1108.13
740,1072.1
741,460.36
742,881.133
743,1018.76
744,130.489
745,1640.82
746,1591.01
747,2117.73
748,478.184
749,379.304
750,1244.56
751,335.037
752,2217.06
753,294.02
754,249.224
755,359.413
756,337.094
757,1785.82
758,2393.47
759,330.616
760,605.749
761,343.264
762,275.983
763,3320.81
764,147.997
765,325.17
766,1721.88
767,1624.85
768,177.97
769,272.985
770,786.0
771,670.402
772,2098.985
773,596.963
774,450.472
775,444.424
776,411.405
777,669.935
778,232.203
779,491.557
780,2839.38
781,431.916
782,730.37875
783,792.273
784,450.567
785,359.685
786,4309.2
787,666.18
788,1281.26
789,1968.82
790,295.186
791,142.184
792,431.448
793,1409.29
794,3297.5
795,379.428
796,238.588
797,1482.93
