,total_cases
464,74026.0
465,75119.0
466,76628.0
467,77963.0
468,79224.0
469,80841.0
470,82326.0
471,84050.0
472,85892.0
473,87716.0
474,88740.0
475,89861.0
476,91458.0
477,93272.0
478,93288.0
479,96531.0
480,98734.0
481,100521.0
482,101906.0
483,103902.0
484,105749.0
485,107957.0
486,109532.0
487,111592.0
488,113124.0
489,114220.0
490,115751.0
491,117158.0
492,118659.0
493,120216.0
494,122156.0
495,123485.0
496,124748.0
497,125937.0
498,127464.0
499,129021.0
500,130113.0
501,131586.0
502,132777.0
503,133578.0
504,134653.0
505,135889.0
506,136643.0
507,137853.0
508,139051.0
509,140224.0
510,140602.0
511,141499.0
512,142414.0
513,142762.0
514,143183.0
515,143439.0
516,143666.0
517,143871.0
518,144285.0
519,145008.0
520,145552.0
521,145996.0
522,146523.0
523,147154.0
524,147501.0
525,147985.0
526,148572.0
527,148933.0
528,149361.0
529,149810.0
530,150240.0
531,150458.0
532,150778.0
533,151013.0
534,151291.0
535,151563.0
536,151770.0
537,151941.0
538,152033.0
539,152142.0
540,152243.0
541,152363.0
542,152411.0
543,152448.0
544,152497.0
545,152511.0
546,152583.0
547,152660.0
548,152722.0
549,152822.0
550,152960.0
551,153007.0
552,153033.0
553,153148.0
554,153220.0
555,153260.0
556,153306.0
557,153375.0
558,153395.0
559,153423.0
560,153534.0
561,153626.0
562,153736.0
563,153840.0
564,153962.0
565,153982.0
566,153990.0
567,154094.0
568,154180.0
569,154283.0
570,154361.0
571,154487.0
572,154487.0
573,154487.0
574,154585.0
575,154712.0
576,154757.0
577,154800.0
578,154960.0
579,154960.0
580,154960.0
581,155072.0
582,155093.0
583,155128.0
584,155174.0
585,155191.0
586,155191.0
587,155191.0
588,155287.0
589,155309.0
590,155380.0
591,155429.0
592,155448.0
593,155466.0
594,155508.0
595,155540.0
596,155599.0
597,155627.0
598,155682.0
599,155688.0
600,155739.0
601,155764.0
602,155776.0
603,155801.0
604,155859.0
605,155891.0
606,155931.0
607,155940.0
608,155944.0
609,156040.0
610,156071.0
611,156124.0
612,156166.0
613,156196.0
614,156210.0
615,156250.0
616,156284.0
617,156307.0
618,156323.0
619,156363.0
620,156392.0
621,156397.0
622,156397.0
623,156397.0
624,156397.0
625,156414.0
626,156456.0
627,156487.0
628,156510.0
629,156552.0
630,156610.0
631,156649.0
632,156739.0
633,156739.0
634,156812.0
635,156864.0
636,156896.0
637,156911.0
638,157015.0
639,157032.0
640,157144.0
641,157171.0
642,157190.0
643,157218.0
644,157260.0
645,157289.0
646,157359.0
647,157387.0
648,157412.0
649,157431.0
650,157454.0
651,157499.0
652,157508.0
653,157542.0
654,157585.0
655,157603.0
656,157611.0
657,157633.0
658,157648.0
659,157660.0
660,157665.0
661,157725.0
662,157734.0
663,157745.0
664,157787.0
665,157797.0
666,157816.0
667,157841.0
668,157878.0
669,157887.0
670,157895.0
671,157951.0
672,157967.0
673,157998.0
674,158037.0
675,158056.0
676,158084.0
677,158107.0
678,158189.0
679,158183.0
680,158205.0
681,158245.0
682,158275.0
683,158300.0
684,158309.0
685,158381.0
686,158394.0
687,158471.0
688,158511.0
689,158602.0
690,158639.0
691,158678.0
692,158717.0
693,158826.0
694,158974.0
695,159070.0
696,159303.0
697,159516.0
698,159548.0
699,159649.0
700,159896.0
701,160252.0
702,160692.0
703,161004.0
704,161057.0
705,161290.0
706,162111.0
707,162926.0
708,163555.0
709,164190.0
710,164727.0
711,165358.0
712,165711.0
713,166191.0
714,166924.0
715,167739.0
716,168550.0
717,169448.0
718,169940.0
719,170152.0
720,170604.0
721,171246.0
722,171422.0
723,171519.0
724,171673.0
725,171857.0
726,171931.0
727,172205.0
728,172441.0
729,172716.0
730,172901.0
731,173047.0
732,173084.0
733,173146.0
734,173395.0
735,173659.0
736,173879.0
737,174073.0
738,174214.0
739,174214.0
740,174331.0
741,174582.0
742,175000.0
743,175353.0
744,175525.0
745,175893.0
746,175974.0
747,176039.0
748,176201.0
749,176409.0
750,176571.0
751,176743.0
752,176918.0
753,176983.0
754,177039.0
755,177093.0
756,177191.0
757,177255.0
758,177321.0
759,177321.0
760,177321.0
761,177321.0
762,177520.0
763,177602.0
764,177658.0
765,177716.0
766,177747.0
767,177782.0
768,177803.0
769,177827.0
770,177897.0
771,177932.0
772,177974.0
773,177974.0
774,177974.0
775,177974.0
776,177974.0
777,178141.0
778,178257.0
779,178295.0
780,178352.0
781,178373.0
782,178387.0
783,178418.0
784,178457.0
785,178513.0
786,178574.0
787,178611.0
788,178638.0
789,178648.0
790,178689.0
791,178745.0
792,178769.0
793,178809.0
794,178850.0
795,178873.0
796,178879.0
797,178899.0
798,178901.0
799,178901.0
800,
801,1.0
802,1.0
803,1.0
804,1.0
805,1.0
